"Time","immigrati","negro"
"2013-02-01",21,36
"2013-03-01",17,36
"2013-04-01",18,35
"2013-05-01",23,40
"2013-06-01",19,40
"2013-07-01",18,42
"2013-08-01",21,40
"2013-09-01",20,36
"2013-10-01",75,36
"2013-11-01",29,43
"2013-12-01",27,41
"2014-01-01",24,41
"2014-02-01",25,39
"2014-03-01",23,41
"2014-04-01",28,43
"2014-05-01",34,45
"2014-06-01",34,48
"2014-07-01",29,43
"2014-08-01",35,51
"2014-09-01",47,45
"2014-10-01",41,41
"2014-11-01",50,45
"2014-12-01",29,45
"2015-01-01",26,44
"2015-02-01",30,42
"2015-03-01",31,43
"2015-04-01",61,47
"2015-05-01",56,45
"2015-06-01",84,46
"2015-07-01",43,48
"2015-08-01",61,54
"2015-09-01",78,46
"2015-10-01",38,41
"2015-11-01",36,46
"2015-12-01",24,51
"2016-01-01",41,49
"2016-02-01",37,49
"2016-03-01",43,48
"2016-04-01",44,47
"2016-05-01",41,47
"2016-06-01",44,47
"2016-07-01",39,50
"2016-08-01",45,62
"2016-09-01",41,49
"2016-10-01",52,50
"2016-11-01",52,48
"2016-12-01",36,57
"2017-01-01",52,58
"2017-02-01",44,51
"2017-03-01",40,51
"2017-04-01",37,51
"2017-05-01",43,46
"2017-06-01",41,54
"2017-07-01",54,55
"2017-08-01",58,49
"2017-09-01",40,51
"2017-10-01",34,60
"2017-11-01",31,69
"2017-12-01",25,64
"2018-01-01",38,54
"2018-02-01",49,53
"2018-03-01",38,66
"2018-04-01",25,60
"2018-05-01",25,52
"2018-06-01",100,55
"2018-07-01",46,56
"2018-08-01",45,54
"2018-09-01",38,51
"2018-10-01",36,48
"2018-11-01",27,50
"2018-12-01",24,56
"2019-01-01",46,48
"2019-02-01",32,46
"2019-03-01",26,46
"2019-04-01",24,46
"2019-05-01",29,47
"2019-06-01",32,47
"2019-07-01",32,47
"2019-08-01",30,49
"2019-09-01",30,46
"2019-10-01",26,46
"2019-11-01",22,49
"2019-12-01",30,47
"2020-01-01",25,45
"2020-02-01",25,42
"2020-03-01",25,38
"2020-04-01",32,43
"2020-05-01",62,40
"2020-06-01",31,47
"2020-07-01",33,46
"2020-08-01",35,46
"2020-09-01",19,62
"2020-10-01",17,39
"2020-11-01",19,38
"2020-12-01",14,46
"2021-01-01",15,42
"2021-02-01",15,46
"2021-03-01",15,35
"2021-04-01",16,39
"2021-05-01",20,38
"2021-06-01",15,38
"2021-07-01",12,41
"2021-08-01",12,44
"2021-09-01",11,40
"2021-10-01",12,39
"2021-11-01",16,42
"2021-12-01",12,44
"2022-01-01",15,39
"2022-02-01",14,36
"2022-03-01",17,40
"2022-04-01",14,41
"2022-05-01",14,40
"2022-06-01",12,41
"2022-07-01",10,44
"2022-08-01",12,44
"2022-09-01",14,37