"Time","negro","dal negro","del negro"
"2014-02-01",57,3,3
"2014-03-01",62,4,5
"2014-04-01",62,4,3
"2014-05-01",68,4,4
"2014-06-01",67,4,4
"2014-07-01",62,4,3
"2014-08-01",73,5,4
"2014-09-01",62,4,4
"2014-10-01",62,4,3
"2014-11-01",68,5,4
"2014-12-01",66,7,4
"2015-01-01",65,5,4
"2015-02-01",65,4,4
"2015-03-01",62,3,4
"2015-04-01",69,4,4
"2015-05-01",65,4,4
"2015-06-01",67,4,3
"2015-07-01",71,4,4
"2015-08-01",76,5,5
"2015-09-01",65,4,4
"2015-10-01",64,4,4
"2015-11-01",66,4,4
"2015-12-01",70,8,5
"2016-01-01",78,6,4
"2016-02-01",73,4,4
"2016-03-01",73,4,4
"2016-04-01",66,3,4
"2016-05-01",72,4,4
"2016-06-01",71,4,4
"2016-07-01",74,4,4
"2016-08-01",78,5,4
"2016-09-01",75,4,4
"2016-10-01",73,4,4
"2016-11-01",73,5,4
"2016-12-01",75,7,5
"2017-01-01",88,6,5
"2017-02-01",76,4,5
"2017-03-01",76,4,3
"2017-04-01",72,4,4
"2017-05-01",72,4,4
"2017-06-01",82,4,4
"2017-07-01",74,4,5
"2017-08-01",77,5,4
"2017-09-01",75,5,4
"2017-10-01",93,5,5
"2017-11-01",100,5,5
"2017-12-01",93,8,6
"2018-01-01",78,6,4
"2018-02-01",82,4,4
"2018-03-01",92,4,5
"2018-04-01",89,4,4
"2018-05-01",75,5,5
"2018-06-01",79,4,4
"2018-07-01",82,4,4
"2018-08-01",79,6,4
"2018-09-01",77,5,4
"2018-10-01",69,5,4
"2018-11-01",69,5,4
"2018-12-01",75,8,5
"2019-01-01",71,6,4
"2019-02-01",65,5,4
"2019-03-01",64,5,4
"2019-04-01",69,4,4
"2019-05-01",63,5,5
"2019-06-01",70,4,4
"2019-07-01",70,5,4
"2019-08-01",76,6,4
"2019-09-01",65,5,4
"2019-10-01",67,5,4
"2019-11-01",71,6,5
"2019-12-01",71,8,5
"2020-01-01",70,5,5
"2020-02-01",57,4,4
"2020-03-01",55,5,4
"2020-04-01",63,5,4
"2020-05-01",62,4,4
"2020-06-01",71,5,4
"2020-07-01",61,4,4
"2020-08-01",63,6,4
"2020-09-01",90,4,4
"2020-10-01",59,4,4
"2020-11-01",56,5,4
"2020-12-01",65,9,4
"2021-01-01",59,7,4
"2021-02-01",70,5,4
"2021-03-01",54,4,3
"2021-04-01",57,4,4
"2021-05-01",58,4,4
"2021-06-01",59,4,3
"2021-07-01",59,5,4
"2021-08-01",68,5,4
"2021-09-01",55,4,3
"2021-10-01",58,5,3
"2021-11-01",59,5,4
"2021-12-01",63,8,4
"2022-01-01",58,6,4
"2022-02-01",52,5,4
"2022-03-01",54,5,4